qnt,batch_index,cA_p,cB_p,cC_p,cD_p,cE_p,cF_p,cG_p,cH_p,cI_p,cW_p,cX_p,cY_p,cA_p_normalized,cB_p_normalized,cC_p_normalized,cD_p_normalized,cE_p_normalized,cF_p_normalized,cG_p_normalized,cH_p_normalized,cI_p_normalized,cW_p_normalized,cX_p_normalized,cY_p_normalized,cA_real,cB_real,cC_real,cD_real,cE_real,cF_real,cG_real,cH_real,cI_real,cW_real,cX_real,cY_real
DyS_cdt,0,0.93,0.96,1.0,1.0,1.0,0.82,0.99,0.74,0.98,0.98,0.91,0.92,0.08,0.09,0.09,0.09,0.09,0.07,0.09,0.07,0.09,0.09,0.08,0.08,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
ACC_cdt,0,0.0,0.03,1.0,1.0,1.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.25,0.25,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
PACC_cdt,0,0.9,0.97,0.98,0.97,0.88,1.0,0.92,0.77,0.96,0.94,0.89,0.91,0.08,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.09,0.08,0.08,0.08,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
X_cdt,0,0.0,0.03,0.65,0.07,0.01,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.75,0.08,0.01,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
MAX_cdt,0,0.0,0.03,0.65,0.07,0.01,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.75,0.08,0.01,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
T50_cdt,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
MS_cdt,0,0.0,0.03,1.0,1.0,1.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.25,0.25,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
MS2_cdt,0,0.0,0.03,1.0,1.0,1.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.25,0.25,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
SMM_cdt,0,0.9,0.97,1.0,1.0,0.96,1.0,1.0,0.77,0.96,0.94,0.89,0.91,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
HDy_cdt,0,0.95,0.98,0.99,1.0,1.0,0.79,1.0,0.86,1.0,0.99,0.97,0.98,0.08,0.08,0.09,0.09,0.09,0.07,0.09,0.08,0.09,0.09,0.08,0.08,0.09,0.03,0.24,0.06,0.01,0.24,0.06,0.01,0.01,0.07,0.11,0.07
