qnt,batch_index,c0_p,c1_p,c2_p,c3_p,c0_p_normalized,c1_p_normalized,c2_p_normalized,c3_p_normalized,c0_real,c1_real,c2_real,c3_real
CC,0,0.36,1.0,0.94,0.92,0.11,0.31,0.29,0.29,0.43,0.33,0.08,0.16
PCC,0,0.4,0.89,0.82,0.88,0.13,0.3,0.28,0.29,0.43,0.33,0.08,0.16
ACC,0,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,0,0.45,0.97,0.76,0.82,0.15,0.32,0.25,0.27,0.43,0.33,0.08,0.16
T50,0,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,0,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,0,0.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
X,0,0.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,0,0.45,0.97,0.76,0.82,0.15,0.32,0.25,0.27,0.43,0.33,0.08,0.16
DyS,0,0.44,0.91,0.78,0.83,0.15,0.31,0.26,0.28,0.43,0.33,0.08,0.16
DySyn,0,0.34,1.0,1.0,0.97,0.1,0.3,0.3,0.29,0.43,0.33,0.08,0.16
HDy,0,0.41,0.96,0.88,0.93,0.13,0.3,0.28,0.29,0.43,0.33,0.08,0.16
ACC_syn,0,0.3,1.0,0.93,0.92,0.09,0.32,0.3,0.29,0.43,0.33,0.08,0.16
PACC_syn,0,0.32,0.89,0.81,0.88,0.11,0.31,0.28,0.3,0.43,0.33,0.08,0.16
X_syn,0,0.0,0.0,0.03,0.49,0.0,0.0,0.06,0.94,0.43,0.33,0.08,0.16
MAX_syn,0,0.0,0.0,0.03,0.49,0.0,0.0,0.06,0.94,0.43,0.33,0.08,0.16
T50_syn,0,0.21,1.0,1.0,1.0,0.06,0.31,0.31,0.31,0.43,0.33,0.08,0.16
MS_syn,0,0.22,1.0,0.93,0.92,0.07,0.33,0.3,0.3,0.43,0.33,0.08,0.16
MS2_syn,0,0.24,1.0,0.88,0.92,0.08,0.33,0.29,0.3,0.43,0.33,0.08,0.16
SMM_syn,0,0.31,0.98,1.0,0.97,0.1,0.3,0.31,0.3,0.43,0.33,0.08,0.16
