qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c6_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c6_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c6_real,c7_real
CC,0,0.85,0.93,1.0,0.9,0.99,1.0,0.97,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PCC,0,0.78,0.74,0.98,0.91,0.75,0.88,0.97,0.13,0.12,0.16,0.15,0.13,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC,0,0.91,0.42,0.38,0.96,0.31,0.42,0.92,0.21,0.1,0.09,0.22,0.07,0.1,0.21,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM,0,0.91,0.42,0.38,0.96,0.31,0.42,0.92,0.21,0.1,0.09,0.22,0.07,0.1,0.21,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS,0,0.91,0.35,0.82,0.95,0.29,0.47,0.94,0.19,0.07,0.17,0.2,0.06,0.1,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DySyn,0,0.9,1.0,1.0,0.95,1.0,1.0,1.0,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy,0,0.95,0.39,0.94,0.98,0.3,0.49,0.96,0.19,0.08,0.19,0.2,0.06,0.1,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_syn,0,0.83,0.92,1.0,0.9,0.99,1.0,0.97,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_syn,0,0.76,0.71,0.98,0.91,0.72,0.88,0.97,0.13,0.12,0.17,0.15,0.12,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_syn,0,0.0,0.19,0.76,0.78,0.07,0.04,0.83,0.0,0.07,0.28,0.29,0.03,0.01,0.31,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_syn,0,0.0,0.19,0.76,0.78,0.07,0.04,0.83,0.0,0.07,0.28,0.29,0.03,0.01,0.31,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_syn,0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_syn,0,0.82,0.92,1.0,0.9,0.99,1.0,0.97,0.12,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_syn,0,0.8,0.9,1.0,0.9,0.98,1.0,0.96,0.12,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_syn,0,0.84,0.95,1.0,0.99,0.95,0.96,1.0,0.13,0.14,0.15,0.15,0.14,0.14,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_syn,0,0.92,1.0,0.99,0.94,1.0,1.0,0.99,0.13,0.15,0.14,0.14,0.15,0.15,0.14,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS_cdt,0,0.91,0.35,0.82,0.95,0.29,0.47,0.94,0.19,0.07,0.17,0.2,0.06,0.1,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
