qnt,batch_index,t,c0_p,c1_p,c0_p_normalized,c1_p_normalized,c0_real,c1_real
CC,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
PCC,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
ACC,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
PACC,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
T50,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
MAX,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
MS,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
MS2,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
X,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
SMM,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
DyS,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
DySyn,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
HDy,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
ACC_syn,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
PACC_syn,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
X_syn,0,0.2244897959183673,0.36,0.64,0.36,0.64,0.46,0.54
MAX_syn,0,0.2244897959183673,0.36,0.64,0.36,0.64,0.46,0.54
T50_syn,0,0.2244897959183673,0.03,0.97,0.03,0.97,0.46,0.54
MS_syn,0,0.2244897959183673,0.44,0.56,0.44,0.56,0.46,0.54
MS2_syn,0,0.2244897959183673,0.44,0.56,0.44,0.56,0.46,0.54
SMM_syn,0,0.2244897959183673,0.45,0.55,0.45,0.55,0.46,0.54
HDy_syn,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
DyS_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
ACC_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
PACC_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
X_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
MAX_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
T50_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
MS_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
MS2_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
SMM_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
HDy_cdt,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
CC2,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
PWK,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
HDx,0,0.2244897959183673,0.44,0.56,0.44,0.56,0.46,0.54
GAC,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
GPAC,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
FM,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
EMQ,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
KDEyHD,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
KDEyCS,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
KDEyML,0,0.2244897959183673,0.46,0.54,0.46,0.54,0.46,0.54
CC,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
PCC,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
ACC,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
PACC,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
T50,1,0.2448979591836734,0.51,0.49,0.51,0.49,0.49,0.51
MAX,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
MS,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
MS2,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
X,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
SMM,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
DyS,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
DySyn,1,0.2448979591836734,0.5,0.5,0.5,0.5,0.49,0.51
HDy,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
ACC_syn,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
PACC_syn,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
X_syn,1,0.2448979591836734,0.37,0.63,0.37,0.63,0.49,0.51
MAX_syn,1,0.2448979591836734,0.37,0.63,0.37,0.63,0.49,0.51
T50_syn,1,0.2448979591836734,0.1,0.9,0.1,0.9,0.49,0.51
MS_syn,1,0.2448979591836734,0.47,0.53,0.47,0.53,0.49,0.51
MS2_syn,1,0.2448979591836734,0.47,0.53,0.47,0.53,0.49,0.51
SMM_syn,1,0.2448979591836734,0.48,0.52,0.48,0.52,0.49,0.51
HDy_syn,1,0.2448979591836734,0.52,0.48,0.52,0.48,0.49,0.51
DyS_cdt,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
ACC_cdt,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
PACC_cdt,1,0.2448979591836734,0.49,0.51,0.49,0.51,0.49,0.51
