qnt,batch_index,t,c0_p,c1_p,c0_p_normalized,c1_p_normalized,c0_real,c1_real
CC,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
PCC,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
ACC,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
PACC,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
T50,0,0.2244897959183673,0.37,0.63,0.37,0.63,0.38,0.62
MAX,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
MS,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
MS2,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
X,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
SMM,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
DyS,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
DySyn,0,0.2244897959183673,0.39,0.61,0.39,0.61,0.38,0.62
HDy,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
ACC_syn,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
PACC_syn,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
X_syn,0,0.2244897959183673,0.31,0.69,0.31,0.69,0.38,0.62
MAX_syn,0,0.2244897959183673,0.31,0.69,0.31,0.69,0.38,0.62
T50_syn,0,0.2244897959183673,0.0,1.0,0.0,1.0,0.38,0.62
MS_syn,0,0.2244897959183673,0.37,0.63,0.37,0.63,0.38,0.62
MS2_syn,0,0.2244897959183673,0.37,0.63,0.37,0.63,0.38,0.62
SMM_syn,0,0.2244897959183673,0.35,0.65,0.35,0.65,0.38,0.62
HDy_syn,0,0.2244897959183673,0.42,0.58,0.42,0.58,0.38,0.62
DyS_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
ACC_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
PACC_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
X_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
MAX_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
T50_cdt,0,0.2244897959183673,0.37,0.63,0.37,0.63,0.38,0.62
MS_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
MS2_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
SMM_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
HDy_cdt,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
CC2,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
PWK,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
HDx,0,0.2244897959183673,0.4,0.6,0.4,0.6,0.38,0.62
GAC,0,0.2244897959183673,0.0,1.0,0.0,1.0,0.38,0.62
GPAC,0,0.2244897959183673,0.0,1.0,0.0,1.0,0.38,0.62
FM,0,0.2244897959183673,0.0,1.0,0.0,1.0,0.38,0.62
EMQ,0,0.2244897959183673,0.38,0.62,0.38,0.62,0.38,0.62
KDEyHD,0,0.2244897959183673,0.0,1.0,0.0,1.0,0.38,0.62
KDEyCS,0,0.2244897959183673,0.0,1.0,0.0,1.0,0.38,0.62
KDEyML,0,0.2244897959183673,0.0,1.0,0.0,1.0,0.38,0.62
CC,1,0.2448979591836734,0.42,0.58,0.42,0.58,0.41,0.59
PCC,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
ACC,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
PACC,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
T50,1,0.2448979591836734,0.4,0.6,0.4,0.6,0.41,0.59
MAX,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
MS,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
MS2,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
X,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
SMM,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
DyS,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
DySyn,1,0.2448979591836734,0.42,0.58,0.42,0.58,0.41,0.59
HDy,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
ACC_syn,1,0.2448979591836734,0.42,0.58,0.42,0.58,0.41,0.59
PACC_syn,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
X_syn,1,0.2448979591836734,0.34,0.66,0.34,0.66,0.41,0.59
MAX_syn,1,0.2448979591836734,0.34,0.66,0.34,0.66,0.41,0.59
T50_syn,1,0.2448979591836734,0.0,1.0,0.0,1.0,0.41,0.59
MS_syn,1,0.2448979591836734,0.4,0.6,0.4,0.6,0.41,0.59
MS2_syn,1,0.2448979591836734,0.4,0.6,0.4,0.6,0.41,0.59
SMM_syn,1,0.2448979591836734,0.4,0.6,0.4,0.6,0.41,0.59
HDy_syn,1,0.2448979591836734,0.43,0.57,0.43,0.57,0.41,0.59
