qnt,batch_index,cDefacement_p,cbenign_p,cmalware_p,cphishing_p,cspam_p,cDefacement_p_normalized,cbenign_p_normalized,cmalware_p_normalized,cphishing_p_normalized,cspam_p_normalized,cDefacement_real,cbenign_real,cmalware_real,cphishing_real,cspam_real
CC,0,0.65,0.81,0.91,0.87,0.83,0.16,0.2,0.22,0.21,0.2,0.43,0.25,0.07,0.08,0.17
PCC,0,0.63,0.79,0.88,0.84,0.81,0.16,0.2,0.22,0.21,0.21,0.43,0.25,0.07,0.08,0.17
ACC,0,0.1,0.0,0.0,0.0,0.11,0.48,0.0,0.0,0.0,0.52,0.43,0.25,0.07,0.08,0.17
PACC,0,0.49,0.77,0.94,0.87,0.83,0.13,0.2,0.24,0.22,0.21,0.43,0.25,0.07,0.08,0.17
T50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.25,0.07,0.08,0.17
MAX,0,0.15,0.07,0.0,0.0,0.11,0.46,0.22,0.0,0.0,0.32,0.43,0.25,0.07,0.08,0.17
MS,0,0.1,0.0,0.0,0.0,0.1,0.48,0.0,0.0,0.0,0.52,0.43,0.25,0.07,0.08,0.17
MS2,0,0.1,0.0,0.0,0.0,0.1,0.49,0.01,0.0,0.0,0.5,0.43,0.25,0.07,0.08,0.17
X,0,0.17,0.07,0.0,0.01,0.11,0.47,0.21,0.0,0.02,0.3,0.43,0.25,0.07,0.08,0.17
SMM,0,0.49,0.77,0.94,0.87,0.83,0.13,0.2,0.24,0.22,0.21,0.43,0.25,0.07,0.08,0.17
DyS,0,0.49,0.77,0.95,0.89,0.84,0.13,0.2,0.24,0.23,0.21,0.43,0.25,0.07,0.08,0.17
DySyn,0,0.66,0.83,0.95,0.91,0.84,0.16,0.2,0.23,0.22,0.2,0.43,0.25,0.07,0.08,0.17
HDy,0,0.55,0.82,0.97,0.97,0.87,0.13,0.2,0.23,0.23,0.21,0.43,0.25,0.07,0.08,0.17
ACC_syn,0,0.65,0.81,0.91,0.87,0.83,0.16,0.2,0.22,0.21,0.2,0.43,0.25,0.07,0.08,0.17
PACC_syn,0,0.63,0.79,0.88,0.84,0.81,0.16,0.2,0.22,0.21,0.21,0.43,0.25,0.07,0.08,0.17
X_syn,0,0.25,0.47,0.38,0.42,0.48,0.12,0.24,0.19,0.21,0.24,0.43,0.25,0.07,0.08,0.17
MAX_syn,0,0.25,0.47,0.38,0.42,0.48,0.12,0.24,0.19,0.21,0.24,0.43,0.25,0.07,0.08,0.17
T50_syn,0,0.71,0.82,0.98,1.0,0.77,0.17,0.19,0.23,0.23,0.18,0.43,0.25,0.07,0.08,0.17
MS_syn,0,0.64,0.81,0.91,0.87,0.82,0.16,0.2,0.22,0.21,0.2,0.43,0.25,0.07,0.08,0.17
MS2_syn,0,0.64,0.81,0.9,0.87,0.82,0.16,0.2,0.22,0.22,0.2,0.43,0.25,0.07,0.08,0.17
SMM_syn,0,0.66,0.86,0.97,0.91,0.9,0.15,0.2,0.23,0.21,0.21,0.43,0.25,0.07,0.08,0.17
HDy_syn,0,0.66,0.79,0.97,0.93,0.88,0.16,0.19,0.23,0.22,0.21,0.43,0.25,0.07,0.08,0.17
DyS_cdt,0,0.49,0.77,0.95,0.89,0.84,0.13,0.2,0.24,0.23,0.21,0.43,0.25,0.07,0.08,0.17
ACC_cdt,0,0.1,0.0,0.0,0.0,0.11,0.48,0.0,0.0,0.0,0.52,0.43,0.25,0.07,0.08,0.17
PACC_cdt,0,0.49,0.77,0.94,0.87,0.83,0.13,0.2,0.24,0.22,0.21,0.43,0.25,0.07,0.08,0.17
X_cdt,0,0.17,0.07,0.0,0.01,0.11,0.47,0.21,0.0,0.02,0.3,0.43,0.25,0.07,0.08,0.17
MAX_cdt,0,0.15,0.07,0.0,0.0,0.11,0.46,0.22,0.0,0.0,0.32,0.43,0.25,0.07,0.08,0.17
T50_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.25,0.07,0.08,0.17
MS_cdt,0,0.1,0.0,0.0,0.0,0.1,0.48,0.0,0.0,0.0,0.52,0.43,0.25,0.07,0.08,0.17
MS2_cdt,0,0.1,0.0,0.0,0.0,0.1,0.49,0.01,0.0,0.0,0.5,0.43,0.25,0.07,0.08,0.17
SMM_cdt,0,0.49,0.77,0.94,0.87,0.83,0.13,0.2,0.24,0.22,0.21,0.43,0.25,0.07,0.08,0.17
HDy_cdt,0,0.55,0.82,0.97,0.97,0.87,0.13,0.2,0.23,0.23,0.21,0.43,0.25,0.07,0.08,0.17
CC2,0,0.41,0.22,0.08,0.11,0.18,0.41,0.22,0.08,0.11,0.18,0.43,0.25,0.07,0.08,0.17
PWK,0,0.42,0.21,0.09,0.12,0.16,0.42,0.21,0.09,0.12,0.16,0.43,0.25,0.07,0.08,0.17
HDx,0,0.54,0.34,0.06,0.27,0.22,0.54,0.34,0.06,0.27,0.22,0.43,0.25,0.07,0.08,0.17
GAC,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.43,0.25,0.07,0.08,0.17
GPAC,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.43,0.25,0.07,0.08,0.17
FM,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43,0.25,0.07,0.08,0.17
EMQ,0,0.52,0.22,0.05,0.06,0.15,0.52,0.22,0.05,0.06,0.15,0.43,0.25,0.07,0.08,0.17
KDEyHD,0,0.97,0.0,0.0,0.0,0.03,0.97,0.0,0.0,0.0,0.03,0.43,0.25,0.07,0.08,0.17
KDEyCS,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43,0.25,0.07,0.08,0.17
KDEyML,0,0.72,0.0,0.0,0.0,0.28,0.72,0.0,0.0,0.0,0.28,0.43,0.25,0.07,0.08,0.17
CC,1,0.74,0.81,0.92,0.86,0.8,0.18,0.2,0.22,0.21,0.19,0.43,0.25,0.07,0.08,0.17
PCC,1,0.72,0.76,0.87,0.84,0.78,0.18,0.19,0.22,0.21,0.2,0.43,0.25,0.07,0.08,0.17
ACC,1,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,1.0,0.43,0.25,0.07,0.08,0.17
PACC,1,0.63,0.73,0.92,0.88,0.79,0.16,0.18,0.23,0.22,0.2,0.43,0.25,0.07,0.08,0.17
T50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.25,0.07,0.08,0.17
MAX,1,0.06,0.06,0.0,0.0,0.16,0.2,0.22,0.0,0.0,0.57,0.43,0.25,0.07,0.08,0.17
MS,1,0.0,0.01,0.0,0.0,0.14,0.0,0.05,0.0,0.0,0.95,0.43,0.25,0.07,0.08,0.17
MS2,1,0.0,0.01,0.0,0.0,0.14,0.0,0.07,0.0,0.0,0.93,0.43,0.25,0.07,0.08,0.17
X,1,0.07,0.06,0.0,0.0,0.16,0.24,0.21,0.0,0.0,0.55,0.43,0.25,0.07,0.08,0.17
SMM,1,0.63,0.73,0.92,0.88,0.79,0.16,0.18,0.23,0.22,0.2,0.43,0.25,0.07,0.08,0.17
DyS,1,0.63,0.72,0.94,0.88,0.8,0.16,0.18,0.24,0.22,0.2,0.43,0.25,0.07,0.08,0.17
DySyn,1,0.77,0.82,0.95,0.9,0.8,0.18,0.19,0.22,0.21,0.19,0.43,0.25,0.07,0.08,0.17
HDy,1,0.68,0.78,0.98,0.93,0.82,0.16,0.19,0.23,0.22,0.2,0.43,0.25,0.07,0.08,0.17
ACC_syn,1,0.74,0.81,0.92,0.86,0.8,0.18,0.2,0.22,0.21,0.19,0.43,0.25,0.07,0.08,0.17
PACC_syn,1,0.72,0.76,0.87,0.84,0.78,0.18,0.19,0.22,0.21,0.2,0.43,0.25,0.07,0.08,0.17
X_syn,1,0.25,0.4,0.3,0.4,0.48,0.14,0.22,0.16,0.22,0.26,0.43,0.25,0.07,0.08,0.17
MAX_syn,1,0.25,0.4,0.3,0.4,0.48,0.14,0.22,0.16,0.22,0.26,0.43,0.25,0.07,0.08,0.17
T50_syn,1,0.83,0.87,0.94,0.96,0.7,0.19,0.2,0.22,0.22,0.16,0.43,0.25,0.07,0.08,0.17
MS_syn,1,0.74,0.8,0.91,0.86,0.78,0.18,0.2,0.22,0.21,0.19,0.43,0.25,0.07,0.08,0.17
MS2_syn,1,0.74,0.8,0.92,0.86,0.79,0.18,0.19,0.22,0.21,0.19,0.43,0.25,0.07,0.08,0.17
SMM_syn,1,0.77,0.82,0.95,0.92,0.84,0.18,0.19,0.22,0.21,0.2,0.43,0.25,0.07,0.08,0.17
