qnt,batch_index,cdraw_p,ceight_p,celeven_p,cfifteen_p,cfive_p,cfour_p,cfourteen_p,cnine_p,cone_p,cseven_p,csix_p,csixteen_p,cten_p,cthirteen_p,cthree_p,ctwelve_p,ctwo_p,czero_p,cdraw_p_normalized,ceight_p_normalized,celeven_p_normalized,cfifteen_p_normalized,cfive_p_normalized,cfour_p_normalized,cfourteen_p_normalized,cnine_p_normalized,cone_p_normalized,cseven_p_normalized,csix_p_normalized,csixteen_p_normalized,cten_p_normalized,cthirteen_p_normalized,cthree_p_normalized,ctwelve_p_normalized,ctwo_p_normalized,czero_p_normalized,cdraw_real,ceight_real,celeven_real,cfifteen_real,cfive_real,cfour_real,cfourteen_real,cnine_real,cone_real,cseven_real,csix_real,csixteen_real,cten_real,cthirteen_real,cthree_real,ctwelve_real,ctwo_real,czero_real
CC,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PCC,0,0.91,0.91,0.91,0.95,0.96,0.98,0.89,0.93,0.98,0.95,0.96,0.99,0.91,0.89,0.98,0.89,0.95,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC,0,1.0,0.65,1.0,1.0,0.83,0.93,1.0,0.74,0.73,0.36,0.81,1.0,0.0,1.0,0.78,1.0,0.77,0.74,0.07,0.05,0.07,0.07,0.06,0.06,0.07,0.05,0.05,0.03,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
T50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MAX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
SMM,0,1.0,0.65,1.0,1.0,0.83,0.93,1.0,0.74,0.73,0.36,0.81,1.0,0.0,1.0,0.78,1.0,0.77,0.74,0.07,0.05,0.07,0.07,0.06,0.06,0.07,0.05,0.05,0.03,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DyS,0,1.0,0.61,1.0,1.0,0.84,0.95,1.0,0.81,0.78,0.38,0.85,1.0,0.0,1.0,0.76,1.0,0.77,0.86,0.07,0.04,0.07,0.07,0.06,0.07,0.07,0.06,0.05,0.03,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DySyn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
HDy,0,1.0,0.67,1.0,1.0,0.85,0.96,1.0,0.87,0.8,0.4,0.87,1.0,0.16,1.0,0.8,1.0,0.82,0.83,0.07,0.04,0.07,0.07,0.06,0.06,0.07,0.06,0.05,0.03,0.06,0.07,0.01,0.07,0.05,0.07,0.05,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC_syn,0,0.91,0.91,0.91,0.95,0.96,0.98,0.89,0.93,0.98,0.95,0.96,0.99,0.91,0.89,0.98,0.89,0.95,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X_syn,0,0.0,0.16,0.0,0.41,0.51,0.7,0.07,0.01,0.7,0.24,0.45,0.85,0.0,0.0,0.66,0.0,0.63,0.83,0.0,0.03,0.0,0.07,0.08,0.11,0.01,0.0,0.11,0.04,0.07,0.14,0.0,0.0,0.11,0.0,0.1,0.13,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MAX_syn,0,0.0,0.16,0.0,0.41,0.51,0.7,0.07,0.01,0.7,0.24,0.45,0.85,0.0,0.0,0.66,0.0,0.63,0.83,0.0,0.03,0.0,0.07,0.08,0.11,0.01,0.0,0.11,0.04,0.07,0.14,0.0,0.0,0.11,0.0,0.1,0.13,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
T50_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS2_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
SMM_syn,0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
HDy_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DyS_cdt,0,1.0,1.0,1.0,1.0,0.84,0.95,1.0,1.0,0.78,0.38,1.0,1.0,1.0,1.0,0.76,1.0,0.77,0.86,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC_cdt,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC_cdt,0,0.91,0.91,0.91,0.95,0.83,0.93,0.89,0.93,0.73,0.36,0.96,1.0,0.91,0.89,0.78,1.0,0.77,0.74,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X_cdt,0,0.0,0.16,0.0,0.41,0.0,0.0,0.07,0.01,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.37,0.0,0.0,0.06,0.01,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
