qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c7_real
CC,0,0.9,0.67,0.73,1.0,0.95,0.82,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PCC,0,0.9,0.67,0.75,0.92,0.89,0.82,0.18,0.14,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC,0,0.08,0.26,0.18,0.0,0.0,0.0,0.15,0.5,0.36,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC,0,0.91,0.64,0.74,1.0,0.88,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
T50,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,0,0.07,0.3,0.2,0.0,0.0,0.03,0.12,0.5,0.32,0.0,0.0,0.06,0.09,0.34,0.25,0.07,0.08,0.17
MS,0,0.07,0.26,0.17,0.0,0.0,0.0,0.14,0.52,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2,0,0.07,0.26,0.17,0.0,0.0,0.0,0.14,0.52,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
X,0,0.08,0.27,0.19,0.0,0.0,0.02,0.14,0.49,0.34,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
SMM,0,0.91,0.64,0.74,1.0,0.88,0.85,0.18,0.13,0.15,0.2,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS,0,0.91,0.66,0.75,1.0,0.9,0.84,0.18,0.13,0.15,0.2,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DySyn,0,0.89,0.66,0.72,1.0,0.99,0.84,0.17,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
HDy,0,0.92,0.69,0.79,1.0,0.95,0.9,0.17,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_syn,0,0.9,0.67,0.73,1.0,0.95,0.82,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PACC_syn,0,0.9,0.67,0.75,0.91,0.89,0.82,0.18,0.14,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_syn,0,0.84,0.57,0.64,0.39,0.31,0.49,0.26,0.18,0.2,0.12,0.1,0.15,0.09,0.34,0.25,0.07,0.08,0.17
MAX_syn,0,0.84,0.57,0.64,0.39,0.31,0.49,0.26,0.18,0.2,0.12,0.1,0.15,0.09,0.34,0.25,0.07,0.08,0.17
T50_syn,0,0.84,0.45,0.62,1.0,1.0,0.94,0.17,0.09,0.13,0.21,0.21,0.19,0.09,0.34,0.25,0.07,0.08,0.17
MS_syn,0,0.89,0.66,0.73,1.0,0.95,0.82,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
MS2_syn,0,0.9,0.66,0.73,1.0,0.95,0.81,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
SMM_syn,0,1.0,0.71,0.8,1.0,0.97,0.9,0.19,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_syn,0,0.85,0.61,0.61,1.0,0.99,0.84,0.17,0.12,0.12,0.2,0.2,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS_cdt,0,0.91,0.66,0.75,1.0,0.9,0.84,0.18,0.13,0.15,0.2,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_cdt,0,0.08,0.26,0.18,0.0,0.0,0.0,0.15,0.5,0.36,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC_cdt,0,0.91,0.64,0.74,1.0,0.88,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_cdt,0,0.08,0.27,0.19,0.0,0.0,0.02,0.14,0.49,0.34,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
MAX_cdt,0,0.07,0.3,0.2,0.0,0.0,0.03,0.12,0.5,0.32,0.0,0.0,0.06,0.09,0.34,0.25,0.07,0.08,0.17
T50_cdt,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS_cdt,0,0.07,0.26,0.17,0.0,0.0,0.0,0.14,0.52,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
