qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c1_real,c2_real,c3_real,c4_real
CC,0,0.78,0.9,1.0,1.0,0.21,0.24,0.27,0.27,0.43,0.33,0.08,0.16
PCC,0,0.66,0.59,0.86,0.88,0.22,0.2,0.29,0.29,0.43,0.33,0.08,0.16
ACC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,0,0.44,0.97,1.0,0.99,0.13,0.29,0.29,0.29,0.43,0.33,0.08,0.16
T50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.08,0.16
X,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,0,0.44,0.97,1.0,0.99,0.13,0.29,0.29,0.29,0.43,0.33,0.08,0.16
DyS,0,0.42,0.83,1.0,0.94,0.13,0.26,0.31,0.29,0.43,0.33,0.08,0.16
DySyn,0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.43,0.33,0.08,0.16
HDy,0,0.42,0.78,1.0,1.0,0.13,0.24,0.31,0.31,0.43,0.33,0.08,0.16
ACC_syn,0,0.7,0.83,1.0,1.0,0.2,0.24,0.28,0.28,0.43,0.33,0.08,0.16
PACC_syn,0,0.54,0.45,0.86,0.88,0.2,0.16,0.32,0.32,0.43,0.33,0.08,0.16
X_syn,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX_syn,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
T50_syn,0,0.98,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.43,0.33,0.08,0.16
MS_syn,0,0.69,0.82,1.0,1.0,0.2,0.23,0.28,0.28,0.43,0.33,0.08,0.16
MS2_syn,0,0.64,0.5,1.0,1.0,0.2,0.16,0.32,0.32,0.43,0.33,0.08,0.16
SMM_syn,0,0.92,1.0,0.94,0.96,0.24,0.26,0.25,0.25,0.43,0.33,0.08,0.16
HDy_syn,0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.43,0.33,0.08,0.16
DyS_cdt,0,0.42,0.83,1.0,1.0,0.13,0.26,0.31,0.31,0.43,0.33,0.08,0.16
ACC_cdt,0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.43,0.33,0.08,0.16
PACC_cdt,0,0.44,0.97,0.86,0.88,0.14,0.31,0.27,0.28,0.43,0.33,0.08,0.16
X_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
T50_cdt,0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.43,0.33,0.08,0.16
MS_cdt,0,0.0,1.0,1.0,1.0,0.0,0.33,0.33,0.33,0.43,0.33,0.08,0.16
MS2_cdt,0,0.0,1.0,1.0,1.0,0.0,0.33,0.33,0.33,0.43,0.33,0.08,0.16
SMM_cdt,0,0.44,0.97,0.94,0.96,0.13,0.29,0.28,0.29,0.43,0.33,0.08,0.16
HDy_cdt,0,0.42,0.78,1.0,1.0,0.13,0.24,0.31,0.31,0.43,0.33,0.08,0.16
CC2,0,0.41,0.57,0.0,0.02,0.41,0.57,0.0,0.02,0.43,0.33,0.08,0.16
PWK,0,0.39,0.22,0.19,0.2,0.39,0.22,0.19,0.2,0.43,0.33,0.08,0.16
HDx,0,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.43,0.33,0.08,0.16
GAC,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
GPAC,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.43,0.33,0.08,0.16
FM,0,0.0,0.0,0.32,0.68,0.0,0.0,0.32,0.68,0.43,0.33,0.08,0.16
EMQ,0,0.58,0.2,0.03,0.19,0.58,0.2,0.03,0.19,0.43,0.33,0.08,0.16
KDEyHD,0,0.43,0.0,0.0,0.57,0.43,0.0,0.0,0.57,0.43,0.33,0.08,0.16
KDEyCS,0,0.36,0.0,0.13,0.51,0.36,0.0,0.13,0.51,0.43,0.33,0.08,0.16
KDEyML,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.43,0.33,0.08,0.16
