qnt,batch_index,c1_p,c2_p,c3_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c1_real,c2_real,c3_real
CC,0,0.67,0.61,0.86,0.31,0.29,0.4,0.43,0.33,0.24
PCC,0,0.63,0.53,0.83,0.32,0.27,0.41,0.43,0.33,0.24
ACC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
PACC,0,0.56,0.91,0.87,0.24,0.39,0.37,0.43,0.33,0.24
T50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MAX,0,0.13,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MS2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
X,0,0.11,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0,0.56,0.91,0.87,0.24,0.39,0.37,0.43,0.33,0.24
DyS,0,0.59,0.98,0.89,0.24,0.4,0.36,0.43,0.33,0.24
DySyn,0,0.88,0.0,0.92,0.49,0.0,0.51,0.43,0.33,0.24
HDy,0,0.66,0.85,0.93,0.27,0.35,0.38,0.43,0.33,0.24
ACC_syn,0,0.63,0.39,0.86,0.34,0.21,0.46,0.43,0.33,0.24
PACC_syn,0,0.6,0.26,0.83,0.36,0.15,0.49,0.43,0.33,0.24
X_syn,0,0.09,0.0,0.22,0.29,0.0,0.71,0.43,0.33,0.24
MAX_syn,0,0.09,0.0,0.22,0.29,0.0,0.71,0.43,0.33,0.24
T50_syn,0,0.8,0.64,1.0,0.33,0.26,0.41,0.43,0.33,0.24
MS_syn,0,0.61,0.36,0.86,0.33,0.2,0.47,0.43,0.33,0.24
MS2_syn,0,0.62,0.31,0.85,0.35,0.18,0.48,0.43,0.33,0.24
SMM_syn,0,0.75,0.71,0.9,0.32,0.3,0.38,0.43,0.33,0.24
HDy_syn,0,0.81,0.86,0.96,0.31,0.33,0.37,0.43,0.33,0.24
DyS_cdt,0,0.59,0.98,0.89,0.24,0.4,0.36,0.43,0.33,0.24
ACC_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
PACC_cdt,0,0.56,0.91,0.87,0.24,0.39,0.37,0.43,0.33,0.24
X_cdt,0,0.11,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX_cdt,0,0.13,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
T50_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MS_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MS2_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
SMM_cdt,0,0.56,0.91,0.87,0.24,0.39,0.37,0.43,0.33,0.24
HDy_cdt,0,0.66,0.85,0.93,0.27,0.35,0.38,0.43,0.33,0.24
CC2,0,0.34,0.5,0.16,0.34,0.5,0.16,0.43,0.33,0.24
PWK,0,0.45,0.27,0.28,0.45,0.27,0.28,0.43,0.33,0.24
HDx,0,0.41,0.4,0.71,0.41,0.4,0.71,0.43,0.33,0.24
GAC,0,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
GPAC,0,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
FM,0,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,0,0.44,0.38,0.18,0.44,0.38,0.18,0.43,0.33,0.24
KDEyHD,0,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
KDEyCS,0,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
KDEyML,0,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
CC,1,0.67,0.52,0.84,0.33,0.26,0.41,0.43,0.33,0.24
PCC,1,0.67,0.52,0.79,0.34,0.26,0.4,0.43,0.33,0.24
ACC,1,0.0,0.08,0.0,0.0,1.0,0.0,0.43,0.33,0.24
PACC,1,0.66,0.67,0.76,0.31,0.32,0.36,0.43,0.33,0.24
T50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MAX,1,0.04,0.08,0.0,0.34,0.66,0.0,0.43,0.33,0.24
MS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MS2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
X,1,0.01,0.03,0.0,0.31,0.69,0.0,0.43,0.33,0.24
SMM,1,0.66,0.67,0.76,0.32,0.32,0.36,0.43,0.33,0.24
DyS,1,0.66,0.56,0.78,0.33,0.28,0.39,0.43,0.33,0.24
DySyn,1,0.73,0.72,0.91,0.31,0.31,0.39,0.43,0.33,0.24
HDy,1,0.72,0.37,0.91,0.36,0.18,0.46,0.43,0.33,0.24
ACC_syn,1,0.64,0.14,0.82,0.4,0.09,0.51,0.43,0.33,0.24
PACC_syn,1,0.64,0.21,0.77,0.39,0.13,0.47,0.43,0.33,0.24
X_syn,1,0.08,0.0,0.17,0.32,0.0,0.68,0.43,0.33,0.24
MAX_syn,1,0.08,0.0,0.17,0.32,0.0,0.68,0.43,0.33,0.24
T50_syn,1,0.76,1.0,0.88,0.29,0.38,0.33,0.43,0.33,0.24
MS_syn,1,0.63,0.12,0.83,0.4,0.08,0.52,0.43,0.33,0.24
MS2_syn,1,0.62,0.06,0.8,0.42,0.04,0.54,0.43,0.33,0.24
SMM_syn,1,0.81,0.63,1.0,0.33,0.26,0.41,0.43,0.33,0.24
HDy_syn,1,0.76,0.98,0.94,0.28,0.37,0.35,0.43,0.33,0.24
DyS_cdt,1,0.66,0.56,0.78,0.33,0.28,0.39,0.43,0.33,0.24
ACC_cdt,1,0.0,0.08,0.0,0.0,1.0,0.0,0.43,0.33,0.24
PACC_cdt,1,0.66,0.67,0.76,0.31,0.32,0.36,0.43,0.33,0.24
X_cdt,1,0.01,0.03,0.0,0.31,0.69,0.0,0.43,0.33,0.24
MAX_cdt,1,0.04,0.08,0.0,0.34,0.66,0.0,0.43,0.33,0.24
T50_cdt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MS_cdt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MS2_cdt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
SMM_cdt,1,0.66,0.67,0.76,0.32,0.32,0.36,0.43,0.33,0.24
HDy_cdt,1,0.72,0.37,0.91,0.36,0.18,0.46,0.43,0.33,0.24
CC2,1,0.33,0.5,0.17,0.33,0.5,0.17,0.43,0.33,0.24
PWK,1,0.4,0.26,0.34,0.4,0.26,0.34,0.43,0.33,0.24
HDx,1,0.59,0.29,0.54,0.59,0.29,0.54,0.43,0.33,0.24
GAC,1,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
GPAC,1,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
FM,1,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,1,0.38,0.34,0.28,0.38,0.34,0.28,0.43,0.33,0.24
KDEyHD,1,0.36,0.64,0.0,0.36,0.64,0.0,0.43,0.33,0.24
KDEyCS,1,0.32,0.61,0.07,0.32,0.61,0.07,0.43,0.33,0.24
KDEyML,1,0.0,0.72,0.28,0.0,0.72,0.28,0.43,0.33,0.24
CC,2,0.62,0.56,0.84,0.31,0.28,0.42,0.43,0.33,0.24
PCC,2,0.64,0.52,0.79,0.33,0.27,0.41,0.43,0.33,0.24
ACC,2,0.08,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,2,0.59,0.59,0.77,0.3,0.3,0.4,0.43,0.33,0.24
T50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.24
MAX,2,0.14,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS,2,0.02,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,2,0.05,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,2,0.1,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,2,0.59,0.59,0.77,0.3,0.3,0.39,0.43,0.33,0.24
DyS,2,0.6,0.6,0.78,0.3,0.3,0.39,0.43,0.33,0.24
DySyn,2,0.65,1.0,0.96,0.25,0.38,0.37,0.43,0.33,0.24
HDy,2,0.65,0.5,0.86,0.32,0.25,0.43,0.43,0.33,0.24
ACC_syn,2,0.58,0.29,0.82,0.34,0.17,0.49,0.43,0.33,0.24
