source,dataset,rows,columns,classes,class_column,has_results,execution_time
kaggle,IRIS,150,4,3,class,Yes,07:53
kaggle,Student_performance_data,2392,14,5,class,Yes,46:26
kaggle,cirrhosis,418,19,5,class,Yes,51:02
kaggle,customer_segmentation,8068,10,4,class,Yes,1:10:48
kaggle,fashion-mnist,70000,784,10,class,No,
kaggle,healthcare,318438,17,11,class,No,
kaggle,music_genre,17996,16,11,class,Yes,3:30:17
kaggle,predictive_maintenance,10000,9,6,class,Yes,1:00:23
kaggle,star_classification,100000,17,3,class,No,
kaggle,zoo,113,17,7,class,Yes,1:05:15
kaggle,zoo2,43,17,5,class_type,No,
kaggle,zoo3,70,17,7,class_type,No,
openml,dataset_1457_amazon-commerce-reviews,1500,10000,50,class,No,
openml,dataset_1491_one-hundred-plants-margin,1600,64,100,class,No,
openml,dataset_1492_one-hundred-plants-shape,1600,64,100,class,No,
openml,dataset_1493_one-hundred-plants-texture,1599,64,100,class,No,
openml,dataset_313_spectrometer,531,101,48,class,Yes,17:48:51
openml,dataset_44478_amazon-commerce-reviews_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1500,100,50,class,No,
openml,dataset_44479_amazon-commerce-reviews_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1500,100,50,class,No,
openml,dataset_44480_amazon-commerce-reviews_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1500,100,50,class,No,
openml,dataset_44481_amazon-commerce-reviews_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1500,100,50,class,No,
openml,dataset_44482_amazon-commerce-reviews_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1500,100,50,class,No,
openml,dataset_4552_BachChoralHarmony,5665,16,102,class,Yes,41:32:39
openml,fabert,8237,800,7,class,No,
openml,fars,100968,29,8,class,No,
openml,microaggregation2,20000,20,5,class,Yes,6:14:03
ours,Avila,20867,10,12,V11,Yes,2:54:46
ours,Chessgame,28061,6,18,game,Yes,2:53:21
ours,Covertype,110393,54,7,class,No,
ours,Dermatology,1000001,34,6,class,No,
ours,HAR,10299,561,6,Class,No,
ours,Land-use,9144,220,8,Class,Yes,33:07:12
ours,Mfeat,2000,6,10,class,Yes,29:37
ours,Mfeat_icdm21,1600,6,3,class,Yes,08:39
ours,Mosquitoes,158249,53,6,class,No,
ours,Nursery,12961,8,5,class,Yes,32:44
ours,PhishingURL,18982,79,5,class,Yes,10:50:12
ours,Satimage,6430,36,6,class,Yes,2:28:24
ours,Walking,149332,4,22,Class,Yes,33:17:03
quapy_data,academic-success,4424,36,3,class,Yes,3:03:00
quapy_data,digits,5620,64,10,class,Yes,23:16:01
quapy_data,dry-bean,13611,16,7,class,Yes,5:23:42
quapy_data,letter,20000,16,26,class,Yes,29:16:42
quapy_data,wine-quality,6497,11,7,class,Yes,2:31:03
uci,uci_42123_article_influence,3615,6,3169,class,No,
uci,wine,178,13,3,class,Yes,43:12
