Datasets;CC;ACC;ACCSyn;X;XSyn;MAX;MAXSyn;MS;MSSyn;PACC;PACCSyn;T50;T50Syn;
Avila;0,0557;0,0623;0,0426;0,0575;0,0409;0,0647;0,0437;0,1536;0,0699;0,0519;0,0993;0,1458;0,2414;
Chess game;0,0450;0,0498;0,0289;0,0443;0,0280;0,0434;0,0321;0,1065;0,0584;0,0485;0,0841;0,1242;0,2447;
Dermatology;0,0021;0,0021;0,0022;0,0031;0,0021;0,0019;0,0022;0,0197;0,1170;0,0130;0,0142;0,0871;0,2365;
HAR;0,0188;0,0224;0,0188;0,0177;0,0186;0,0185;0,0181;0,1085;0,0735;0,0369;0,0656;0,1567;0,2341;
Land-use;0,0615;0,0799;0,0476;0,0694;0,0496;0,0803;0,0554;0,1372;0,0623;0,0835;0,0918;0,1520;0,2264;
Mfeat;0,0547;0,0523;0,0429;0,0531;0,0425;0,0467;0,0440;0,0581;0,0622;0,0396;0,0834;0,0719;0,2661;
Mosquitoes;0,0636;0,0580;0,0438;0,0514;0,0433;0,0489;0,0461;0,0927;0,0685;0,0429;0,0909;0,1081;0,2385;
Nursery;0,0233;0,0264;0,0263;0,0264;0,0256;0,0253;0,0282;0,0830;0,0670;0,0642;0,0695;0,1153;0,2408;
Phishing URL;0,0179;0,0255;0,0180;0,0168;0,0179;0,0166;0,0181;0,0333;0,0167;0,0318;0,0467;0,0457;0,2375;
Satimage;0,0357;0,0846;0,0349;0,0532;0,0348;0,0468;0,0344;0,1377;0,0563;0,0790;0,0724;0,1594;0,2495;
Walking;0,0983;0,0643;0,0819;0,0649;0,0843;0,0729;0,0893;0,0767;0,0922;0,0719;0,1162;0,0541;0,2378;
