dataset,ACC,ACCSyn,CC,DyS-TS,DySyn-TS,HDy-LP,HDySyn,MAX,MAXSyn,MS,MSSyn,PACC,PACCSyn,SMM,SMMSyn,T50,T50Syn,X,XSyn
Avila,0.065 (0.044),0.046 (0.054),0.056 (0.039),0.065 (0.047),0.044 (0.051),0.079 (0.055),0.049 (0.047),0.070 (0.061),0.050 (0.061),0.156 (0.118),0.074 (0.060),0.054 (0.040),0.100 (0.069),0.102 (0.063),0.090 (0.068),0.153 (0.110),0.094 (0.092),0.060 (0.041),0.046 (0.054)
Chess game,0.052 (0.037),0.031 (0.026),0.045 (0.033),0.035 (0.029),0.030 (0.027),0.048 (0.036),0.039 (0.031),0.046 (0.038),0.034 (0.030),0.109 (0.071),0.060 (0.049),0.049 (0.034),0.085 (0.052),0.070 (0.044),0.065 (0.048),0.127 (0.088),0.088 (0.086),0.046 (0.033),0.030 (0.027)
Covertype,0.059 (0.045),0.057 (0.055),0.077 (0.053),0.062 (0.050),0.060 (0.054),0.072 (0.057),0.059 (0.050),0.071 (0.057),0.062 (0.064),0.085 (0.063),0.096 (0.070),0.092 (0.054),0.114 (0.076),0.079 (0.058),0.091 (0.064),0.073 (0.059),0.121 (0.104),0.070 (0.054),0.056 (0.054)
Dermatology,0.002 (0.005),0.002 (0.005),0.002 (0.005),0.002 (0.005),0.010 (0.010),0.008 (0.008),0.050 (0.044),0.002 (0.005),0.002 (0.005),0.022 (0.019),0.120 (0.106),0.012 (0.009),0.014 (0.010),0.006 (0.006),0.036 (0.023),0.089 (0.067),0.211 (0.127),0.003 (0.006),0.002 (0.005)
HAR,0.026 (0.020),0.017 (0.015),0.017 (0.015),0.016 (0.013),0.013 (0.011),0.038 (0.030),0.026 (0.021),0.020 (0.014),0.017 (0.015),0.119 (0.088),0.073 (0.044),0.035 (0.022),0.063 (0.041),0.053 (0.035),0.048 (0.025),0.164 (0.102),0.144 (0.103),0.020 (0.014),0.017 (0.015)
Land-use,0.084 (0.059),0.048 (0.037),0.061 (0.041),0.065 (0.051),0.038 (0.033),0.102 (0.064),0.038 (0.033),0.085 (0.075),0.052 (0.044),0.143 (0.097),0.063 (0.052),0.085 (0.056),0.088 (0.056),0.114 (0.070),0.065 (0.053),0.160 (0.110),0.091 (0.085),0.071 (0.046),0.048 (0.037)
Mfeat,0.058 (0.039),0.042 (0.032),0.052 (0.036),0.038 (0.029),0.037 (0.027),0.039 (0.031),0.035 (0.029),0.048 (0.036),0.044 (0.033),0.064 (0.043),0.064 (0.045),0.040 (0.033),0.079 (0.049),0.051 (0.035),0.059 (0.038),0.075 (0.056),0.069 (0.055),0.058 (0.038),0.042 (0.032)
Mosquitoes,0.060 (0.042),0.045 (0.033),0.062 (0.043),0.040 (0.030),0.048 (0.033),0.055 (0.041),0.042 (0.031),0.054 (0.042),0.048 (0.036),0.097 (0.065),0.071 (0.055),0.042 (0.034),0.088 (0.054),0.070 (0.046),0.067 (0.044),0.111 (0.081),0.106 (0.086),0.055 (0.039),0.045 (0.033)
Nursery,0.027 (0.020),0.027 (0.025),0.022 (0.018),0.020 (0.018),0.027 (0.023),0.031 (0.024),0.050 (0.036),0.025 (0.018),0.028 (0.027),0.084 (0.054),0.074 (0.058),0.062 (0.038),0.067 (0.041),0.051 (0.032),0.049 (0.036),0.120 (0.082),0.161 (0.136),0.026 (0.018),0.027 (0.025)
Phishing URL,0.026 (0.018),0.018 (0.015),0.018 (0.015),0.014 (0.012),0.013 (0.011),0.017 (0.014),0.025 (0.021),0.018 (0.014),0.018 (0.015),0.036 (0.027),0.020 (0.017),0.032 (0.023),0.045 (0.028),0.023 (0.017),0.019 (0.014),0.049 (0.042),0.103 (0.074),0.019 (0.014),0.018 (0.015)
Satimage,0.090 (0.064),0.034 (0.023),0.034 (0.023),0.035 (0.025),0.017 (0.013),0.064 (0.043),0.038 (0.039),0.051 (0.035),0.034 (0.023),0.144 (0.100),0.054 (0.038),0.082 (0.048),0.068 (0.044),0.090 (0.057),0.049 (0.027),0.167 (0.115),0.053 (0.046),0.058 (0.036),0.033 (0.023)
Walking,0.062 (0.049),0.073 (0.056),0.093 (0.062),0.066 (0.058),0.067 (0.053),0.073 (0.062),0.055 (0.047),0.078 (0.067),0.077 (0.065),0.074 (0.062),0.070 (0.052),0.070 (0.056),0.101 (0.068),0.071 (0.056),0.083 (0.063),0.066 (0.055),0.063 (0.058),0.070 (0.059),0.072 (0.056)
