MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.55,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.55,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.0013781792711067464,DySyn-TS
0.55,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.55,0.15000000000000002,0.0,0.012,0.01,topsoe,0.9878542510121457,XSyn-TS
0.55,0.15000000000000002,0.0,0.004,0.0,topsoe,0.9959677419354839,MAXSyn-TS
0.55,0.15000000000000002,0.0,0.029,0.03,topsoe,0.9708333333333333,T50Syn-TS
0.55,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.55,0.15000000000000002,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.55,0.15000000000000002,0.0,[0. 1.],[0. 1.],topsoe,1.2975503434387741e-06,DySyn-TS
0.55,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.55,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.55,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.55,0.25000000000000006,0.0,0.109,0.11,topsoe,0.8906882591093117,T50Syn-TS
0.55,0.25000000000000006,0.0,0.011,0.01,topsoe,0.9889380530973452,MS2Syn-TS
0.55,0.25000000000000006,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.55,0.25000000000000006,0.0,[0. 1.],[0. 1.],topsoe,1.0011718292847385e-05,DySyn-TS
0.55,0.35000000000000003,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.55,0.35000000000000003,0.0,0.018,0.02,topsoe,0.981675392670157,XSyn-TS
0.55,0.35000000000000003,0.0,0.081,0.08,topsoe,0.918848167539267,MAXSyn-TS
0.55,0.35000000000000003,0.0,0.213,0.21,topsoe,0.7865612648221344,T50Syn-TS
0.55,0.35000000000000003,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.55,0.35000000000000003,0.0,0.02,0.02,topsoe,0.98,SMMSyn-TS
0.55,0.35000000000000003,0.0,[0.02 0.98],[0.02 0.98],topsoe,3.6221952019018433e-06,DySyn-TS
0.55,0.45000000000000007,0.0,0.031,0.03,topsoe,0.9689655172413794,ACCSyn-TS
0.55,0.45000000000000007,0.0,0.118,0.12,topsoe,0.8816568047337279,XSyn-TS
0.55,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.55,0.45000000000000007,0.0,0.413,0.41,topsoe,0.5867768595041323,T50Syn-TS
0.55,0.45000000000000007,0.0,0.066,0.07,topsoe,0.9338986883763003,MS2Syn-TS
0.55,0.45000000000000007,0.0,0.01,0.01,topsoe,0.99,SMMSyn-TS
0.55,0.45000000000000007,0.0,[0.07 0.93],[0.07 0.93],topsoe,3.8225189769925706e-07,DySyn-TS
0.55,0.5500000000000002,0.0,0.05,0.05,topsoe,0.9495412844036697,ACCSyn-TS
0.55,0.5500000000000002,0.0,0.091,0.09,topsoe,0.908745247148289,XSyn-TS
0.55,0.5500000000000002,0.0,0.196,0.2,topsoe,0.8038585209003215,MAXSyn-TS
0.55,0.5500000000000002,0.0,0.537,0.54,topsoe,0.462962962962963,T50Syn-TS
0.55,0.5500000000000002,0.0,0.074,0.07,topsoe,0.926265763222285,MS2Syn-TS
0.55,0.5500000000000002,0.0,0.11,0.11,topsoe,0.89,SMMSyn-TS
0.55,0.5500000000000002,0.0,[0.08 0.92],[0.08 0.92],topsoe,2.9736784926018105e-07,DySyn-TS
0.55,0.6500000000000001,0.0,0.189,0.19,topsoe,0.8106995884773663,ACCSyn-TS
0.55,0.6500000000000001,0.0,0.192,0.19,topsoe,0.8082191780821917,XSyn-TS
0.55,0.6500000000000001,0.0,0.151,0.15,topsoe,0.8489208633093526,MAXSyn-TS
0.55,0.6500000000000001,0.0,0.285,0.28,topsoe,0.7154471544715446,T50Syn-TS
0.55,0.6500000000000001,0.0,0.139,0.14,topsoe,0.861244019138756,MS2Syn-TS
0.55,0.6500000000000001,0.0,0.22,0.22,topsoe,0.78,SMMSyn-TS
0.55,0.6500000000000001,0.0,[0.24 0.76],[0.24 0.76],topsoe,1.0774952668261297e-07,DySyn-TS
0.55,0.7500000000000002,0.0,0.068,0.07,topsoe,0.9316770186335404,ACCSyn-TS
0.55,0.7500000000000002,0.0,0.281,0.28,topsoe,0.71875,XSyn-TS
0.55,0.7500000000000002,0.0,0.364,0.36,topsoe,0.6363636363636364,MAXSyn-TS
0.55,0.7500000000000002,0.0,0.741,0.74,topsoe,0.2592592592592592,T50Syn-TS
0.55,0.7500000000000002,0.0,0.291,0.29,topsoe,0.7088607594936709,MS2Syn-TS
0.55,0.7500000000000002,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.55,0.7500000000000002,0.0,[0.08 0.92],[0.08 0.92],topsoe,2.0310880376186937e-08,DySyn-TS
0.55,0.8500000000000002,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.55,0.8500000000000002,0.0,0.386,0.39,topsoe,0.6140350877192982,XSyn-TS
