MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.05,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.023122168003758454,DySyn-TS
0.05,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.15000000000000002,0.0,0.012,0.01,topsoe,0.9879518072289156,XSyn-TS
0.05,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.15000000000000002,0.0,0.025,0.02,topsoe,0.9746835443037974,T50Syn-TS
0.05,0.15000000000000002,0.0,0.004,0.0,topsoe,0.9959514170040485,MS2Syn-TS
0.05,0.15000000000000002,0.0,0.01,0.01,topsoe,0.99,SMMSyn-TS
0.05,0.15000000000000002,0.0,[0. 1.],[0. 1.],topsoe,0.005479060496897216,DySyn-TS
0.05,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.25000000000000006,0.0,0.005,0.0,topsoe,0.9954128440366973,XSyn-TS
0.05,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.25000000000000006,0.0,0.102,0.1,topsoe,0.8980392156862745,T50Syn-TS
0.05,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.25000000000000006,0.0,0.03,0.03,topsoe,0.97,SMMSyn-TS
0.05,0.25000000000000006,0.0,[0. 1.],[0. 1.],topsoe,2.1475887266709072e-06,DySyn-TS
0.05,0.35000000000000003,0.0,0.033,0.03,topsoe,0.9670886075949368,ACCSyn-TS
0.05,0.35000000000000003,0.0,0.015,0.02,topsoe,0.9845758354755784,XSyn-TS
0.05,0.35000000000000003,0.0,0.075,0.08,topsoe,0.9249394673123487,MAXSyn-TS
0.05,0.35000000000000003,0.0,0.297,0.3,topsoe,0.7032520325203252,T50Syn-TS
0.05,0.35000000000000003,0.0,0.034,0.03,topsoe,0.9662808693896777,MS2Syn-TS
0.05,0.35000000000000003,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.05,0.35000000000000003,0.0,[0.02 0.98],[0.02 0.98],topsoe,1.3401838978791946e-06,DySyn-TS
0.05,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.45000000000000007,0.0,0.108,0.11,topsoe,0.8918918918918919,XSyn-TS
0.05,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.45000000000000007,0.0,0.328,0.33,topsoe,0.6724137931034483,T50Syn-TS
0.05,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.45000000000000007,0.0,0.07,0.07,topsoe,0.93,SMMSyn-TS
0.05,0.45000000000000007,0.0,[0.04 0.96],[0.04 0.96],topsoe,2.015447288953665e-06,DySyn-TS
0.05,0.5500000000000002,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.5500000000000002,0.0,0.072,0.07,topsoe,0.9276595744680851,XSyn-TS
0.05,0.5500000000000002,0.0,0.069,0.07,topsoe,0.9306569343065694,MAXSyn-TS
0.05,0.5500000000000002,0.0,0.514,0.51,topsoe,0.4864864864864865,T50Syn-TS
0.05,0.5500000000000002,0.0,0.004,0.0,topsoe,0.9959839357429718,MS2Syn-TS
0.05,0.5500000000000002,0.0,0.09,0.09,topsoe,0.91,SMMSyn-TS
0.05,0.5500000000000002,0.0,[0.17 0.83],[0.17 0.83],topsoe,3.816302849889906e-09,DySyn-TS
0.05,0.6500000000000001,0.0,0.129,0.13,topsoe,0.8705882352941177,ACCSyn-TS
0.05,0.6500000000000001,0.0,0.087,0.09,topsoe,0.91324200913242,XSyn-TS
0.05,0.6500000000000001,0.0,0.179,0.18,topsoe,0.8208955223880597,MAXSyn-TS
0.05,0.6500000000000001,0.0,0.572,0.57,topsoe,0.4276315789473685,T50Syn-TS
0.05,0.6500000000000001,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.6500000000000001,0.0,0.23,0.23,topsoe,0.77,SMMSyn-TS
0.05,0.6500000000000001,0.0,[0.07 0.93],[0.07 0.93],topsoe,2.3614059069173307e-08,DySyn-TS
0.05,0.7500000000000002,0.0,0.387,0.39,topsoe,0.6129032258064516,ACCSyn-TS
0.05,0.7500000000000002,0.0,0.106,0.11,topsoe,0.8943661971830985,XSyn-TS
0.05,0.7500000000000002,0.0,0.413,0.41,topsoe,0.5869565217391304,MAXSyn-TS
0.05,0.7500000000000002,0.0,0.704,0.7,topsoe,0.2961165048543689,T50Syn-TS
0.05,0.7500000000000002,0.0,0.282,0.28,topsoe,0.7179118773946361,MS2Syn-TS
0.05,0.7500000000000002,0.0,0.11,0.11,topsoe,0.89,SMMSyn-TS
0.05,0.7500000000000002,0.0,[0.2 0.8],[0.2 0.8],topsoe,5.1651052033726066e-08,DySyn-TS
0.05,0.8500000000000002,0.0,0.294,0.29,topsoe,0.7062146892655368,ACCSyn-TS
0.05,0.8500000000000002,0.0,0.186,0.19,topsoe,0.8139534883720928,XSyn-TS
0.05,0.8500000000000002,0.0,0.258,0.26,topsoe,0.7423076923076923,MAXSyn-TS
0.05,0.8500000000000002,0.0,0.792,0.79,topsoe,0.207920792079208,T50Syn-TS
0.05,0.8500000000000002,0.0,0.383,0.38,topsoe,0.6172839506172839,MS2Syn-TS
0.05,0.8500000000000002,0.0,0.37,0.37,topsoe,0.63,SMMSyn-TS
0.05,0.8500000000000002,0.0,[0.32 0.68],[0.32 0.68],topsoe,2.5450083413120807e-07,DySyn-TS
0.05,0.9500000000000002,0.0,0.538,0.54,topsoe,0.4623655913978494,ACCSyn-TS
0.05,0.9500000000000002,0.0,0.067,0.07,topsoe,0.9333333333333332,XSyn-TS
0.05,0.9500000000000002,0.0,1.0,1.0,topsoe,0.0,MAXSyn-TS
0.05,0.9500000000000002,0.0,0.977,0.98,topsoe,0.0234375,T50Syn-TS
0.05,0.9500000000000002,0.0,0.466,0.47,topsoe,0.5336631274131274,MS2Syn-TS
0.05,0.9500000000000002,0.0,0.48,0.48,topsoe,0.52,SMMSyn-TS
0.05,0.9500000000000002,0.0,[0.52 0.48],[0.52 0.48],topsoe,7.414414607501293e-08,DySyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.05,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.024469118550114143,DySyn-TS
0.05,0.15000000000000002,0.0,0.016,0.02,topsoe,0.983640081799591,ACCSyn-TS
0.05,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.15000000000000002,0.0,0.033,0.03,topsoe,0.9673469387755103,T50Syn-TS
0.05,0.15000000000000002,0.0,0.008,0.01,topsoe,0.9919354838709677,MS2Syn-TS
0.05,0.15000000000000002,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.05,0.15000000000000002,0.0,[0. 1.],[0. 1.],topsoe,0.011379334628494497,DySyn-TS
0.05,0.25000000000000006,0.0,0.009,0.01,topsoe,0.991111111111111,ACCSyn-TS
0.05,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.25000000000000006,0.0,0.02,0.02,topsoe,0.9804347826086957,MAXSyn-TS
0.05,0.25000000000000006,0.0,0.128,0.13,topsoe,0.871900826446281,T50Syn-TS
0.05,0.25000000000000006,0.0,0.017,0.02,topsoe,0.9827586206896551,MS2Syn-TS
0.05,0.25000000000000006,0.0,0.03,0.03,topsoe,0.97,SMMSyn-TS
0.05,0.25000000000000006,0.0,[0. 1.],[0. 1.],topsoe,3.055373625257215e-06,DySyn-TS
0.05,0.35000000000000003,0.0,0.08,0.08,topsoe,0.9203980099502488,ACCSyn-TS
0.05,0.35000000000000003,0.0,0.049,0.05,topsoe,0.9511568123393316,XSyn-TS
0.05,0.35000000000000003,0.0,0.024,0.02,topsoe,0.975609756097561,MAXSyn-TS
0.05,0.35000000000000003,0.0,0.298,0.3,topsoe,0.7021276595744681,T50Syn-TS
0.05,0.35000000000000003,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.35000000000000003,0.0,0.05,0.05,topsoe,0.95,SMMSyn-TS
0.05,0.35000000000000003,0.0,[0.04 0.96],[0.04 0.96],topsoe,3.987090198560536e-06,DySyn-TS
0.05,0.45000000000000007,0.0,0.023,0.02,topsoe,0.9768976897689768,ACCSyn-TS
0.05,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.45000000000000007,0.0,0.064,0.06,topsoe,0.9363057324840764,MAXSyn-TS
0.05,0.45000000000000007,0.0,0.432,0.43,topsoe,0.5682819383259912,T50Syn-TS
0.05,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.45000000000000007,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.05,0.45000000000000007,0.0,[0.08 0.92],[0.08 0.92],topsoe,2.6423614304135583e-07,DySyn-TS
