MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.55,0.05,0.0,0.0,0.0,,1.0,T50
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.55,0.05,0.0,0.0,0.0,,1.0,MS
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.55,0.05,0.0,0.0,0.0,,1.0,MS2
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.55,0.05,0.0,0,0.0,,1.0,SMM
0.55,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.55,0.05,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.55,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.3262339341936435,DySyn-TS
0.55,0.05,0.0,0.0,0.0,,1.0,X
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.55,0.05,0.0,0.0,0.0,,1.0,MAX
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.55,0.05,0.0,0.0,0.0,,1.0,ACC
0.55,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.55,0.05,0.0,0.0,0.0,,1.0,CC
0.55,0.15,0.0,0.0,0.0,,1.0,T50
0.55,0.15,0.0,0.016,0.02,topsoe,0.9839357429718876,T50Syn-TS
0.55,0.15,0.0,0.0,0.0,,1.0,MS
0.55,0.15,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.55,0.15,0.0,0.0,0.0,,1.0,MS2
0.55,0.15,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.55,0.15,0.0,0,0.0,,1.0,SMM
0.55,0.15,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.55,0.15,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.55,0.15,0.0,[0. 1.],[0. 1.],topsoe,0.011873027740307136,DySyn-TS
0.55,0.15,0.0,0.0,0.0,,1.0,X
0.55,0.15,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.55,0.15,0.0,0.0,0.0,,1.0,MAX
0.55,0.15,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.55,0.15,0.0,0.0,0.0,,1.0,ACC
0.55,0.15,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.55,0.15,0.0,0.008,0.01,,0.992,CC
0.55,0.25,0.0,0.0,0.0,,1.0,T50
0.55,0.25,0.0,0.107,0.11,topsoe,0.8928571428571429,T50Syn-TS
0.55,0.25,0.0,0.0,0.0,,1.0,MS
0.55,0.25,0.0,0.053,0.05,topsoe,0.9474789915966386,MSSyn-TS
0.55,0.25,0.0,0.0,0.0,,1.0,MS2
0.55,0.25,0.0,0.063,0.06,topsoe,0.9367088607594937,MS2Syn-TS
0.55,0.25,0.0,0,0.0,,1.0,SMM
0.55,0.25,0.0,0.04,0.04,topsoe,0.96,SMMSyn-TS
0.55,0.25,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.55,0.25,0.0,[0. 1.],[0. 1.],topsoe,0.02722860925205516,DySyn-TS
0.55,0.25,0.0,0.0,0.0,,1.0,X
0.55,0.25,0.0,0.045,0.04,topsoe,0.9549356223175965,XSyn-TS
0.55,0.25,0.0,0.0,0.0,,1.0,MAX
0.55,0.25,0.0,0.028,0.03,topsoe,0.9721627408993576,MAXSyn-TS
0.55,0.25,0.0,0.0,0.0,,1.0,ACC
0.55,0.25,0.0,0.035,0.04,topsoe,0.9654427645788337,ACCSyn-TS
0.55,0.25,0.0,0.074,0.07,,0.926,CC
0.55,0.35,0.0,0.0,0.0,,1.0,T50
0.55,0.35,0.0,0.209,0.21,topsoe,0.7913043478260869,T50Syn-TS
0.55,0.35,0.0,0.0,0.0,,1.0,MS
0.55,0.35,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.55,0.35,0.0,0.0,0.0,,1.0,MS2
0.55,0.35,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.55,0.35,0.0,0,0.0,,1.0,SMM
0.55,0.35,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.55,0.35,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.55,0.35,0.0,[0. 1.],[0. 1.],topsoe,0.013853040577254906,DySyn-TS
0.55,0.35,0.0,0.0,0.0,,1.0,X
0.55,0.35,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.55,0.35,0.0,0.0,0.0,,1.0,MAX
