qnt,c2_p,c4_p,c5_p,c2_p_normalized,c4_p_normalized,c5_p_normalized,c2_real,c4_real,c5_real
CC,0.62,0.73,0.82,0.29,0.34,0.38,0.43,0.33,0.24
PCC,0.62,0.62,0.78,0.31,0.31,0.39,0.43,0.33,0.24
ACC,0.29,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.61,0.59,0.81,0.3,0.29,0.4,0.43,0.33,0.24
T50,0.09,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.35,0.0,0.02,0.94,0.0,0.06,0.43,0.33,0.24
MS,0.23,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.23,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.32,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.61,0.59,0.81,0.3,0.29,0.4,0.43,0.33,0.24
DyS,0.63,0.49,0.81,0.33,0.25,0.42,0.43,0.33,0.24
DySyn,0.64,1.0,0.94,0.25,0.39,0.36,0.43,0.33,0.24
HDy,0.67,0.6,0.87,0.31,0.28,0.41,0.43,0.33,0.24
ACC_syn,0.58,0.55,0.8,0.3,0.28,0.42,0.43,0.33,0.24
PACC_syn,0.58,0.49,0.75,0.32,0.27,0.41,0.43,0.33,0.24
X_syn,0.17,0.0,0.25,0.4,0.0,0.6,0.43,0.33,0.24
MAX_syn,0.17,0.0,0.25,0.4,0.0,0.6,0.43,0.33,0.24
T50_syn,0.6,0.96,0.9,0.24,0.39,0.37,0.43,0.33,0.24
MS_syn,0.62,0.64,0.75,0.31,0.32,0.37,0.43,0.33,0.24
MS2_syn,0.55,0.53,0.78,0.3,0.29,0.42,0.43,0.33,0.24
SMM_syn,0.64,1.0,1.0,0.24,0.38,0.38,0.43,0.33,0.24
HDy_syn,0.66,1.0,0.91,0.26,0.39,0.35,0.43,0.33,0.24
CC2,0.38,0.43,0.19,0.38,0.43,0.19,0.43,0.33,0.24
PWK,0.43,0.34,0.23,0.43,0.34,0.23,0.43,0.33,0.24
HDx,0.66,0.4,0.08,0.66,0.4,0.08,0.43,0.33,0.24
GAC,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
GPAC,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,0.36,0.49,0.15,0.36,0.49,0.15,0.43,0.33,0.24
KDEyHD,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
