qnt,c1_p,c2_p,c3_p,c4_p,c5_p,c6_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c6_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c6_real
CC,0.91,0.6799999999999999,0.75,0.91,0.92,0.83,0.182,0.13599999999999998,0.15,0.182,0.184,0.16599999999999998,0.09,0.34,0.25,0.07,0.08,0.17
PCC,0.9097590246885511,0.6891422432245384,0.750111436544907,0.8989497377765195,0.9164602732946161,0.8347881686225223,0.18198052568109124,0.13785020460113737,0.1500459680392534,0.1798183270536441,0.18332098695815183,0.16698398766672198,0.09,0.34,0.25,0.07,0.08,0.17
ACC,0.08812061118604353,0.251043313910706,0.24993816834308835,0.0,0.06167500764190548,0.14039878131660388,0.11137929396800786,0.31730405273439416,0.31590721343202877,0.0,0.07795359921101952,0.17745584065454972,0.09,0.34,0.25,0.07,0.08,0.17
PACC,0.08836232098602526,0.2407400709011488,0.24982671854194827,0.0,0.0652954300057007,0.13543055412212734,0.1133351421710883,0.30877765383929495,0.3204323556481289,0.0,0.08374912247935187,0.173705725862136,0.09,0.34,0.25,0.07,0.08,0.17
T50,0.0811019806594645,0.0,0.24410950476776372,0.0,0.0,0.0,0.24938227674499674,0.0,0.7506177232550033,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,0.08880210075535289,0.24676614589844537,0.25000154352166604,0.0047912997345795905,0.07388275675553913,0.1352045863786605,0.11107921047165072,0.3086704979316517,0.3127175352257277,0.005993256771214946,0.09241716376151839,0.16912233583823655,0.09,0.34,0.25,0.07,0.08,0.17
MS,0.08812061118604353,0.22510424158689135,0.2499305367132173,0.0,0.06167500764190548,0.13819839948110213,0.11548792336232214,0.29501408411745006,0.32755059550031274,0.0,0.08082920057012839,0.1811181964497867,0.09,0.34,0.25,0.07,0.08,0.17
MS2,0.08812061118604353,0.22510424158689135,0.2499305367132173,0.0,0.06167500764190548,0.13819839948110213,0.11548792336232214,0.29501408411745006,0.32755059550031274,0.0,0.08082920057012839,0.1811181964497867,0.09,0.34,0.25,0.07,0.08,0.17
X,0.08884194434369364,0.24850881290203541,0.24997429431116758,0.002093866928127852,0.07334838271471023,0.14447024368882988,0.11005675455290903,0.30785091015103977,0.3096663378630083,0.0025938671229878197,0.09086344308333136,0.17896868722672374,0.09,0.34,0.25,0.07,0.08,0.17
SMM,0.91,0.66,0.75,0.91,0.92,0.83,0.1827309236947791,0.1325301204819277,0.1506024096385542,0.1827309236947791,0.18473895582329317,0.16666666666666666,0.09,0.34,0.25,0.07,0.08,0.17
DyS,0.908582188141394,0.6665669521130279,0.7487563041478054,0.9210277473456343,0.915770441265184,0.8293897383408046,0.1820771918532035,0.13357805205400058,0.15004855589398763,0.1845712452261695,0.18351769658705377,0.1662072583855851,0.09,0.34,0.25,0.07,0.08,0.17
DySyn,0.89,0.64,0.74,0.9299999999999999,0.91,0.79,0.18163265306122447,0.13061224489795917,0.15102040816326529,0.1897959183673469,0.18571428571428572,0.16122448979591836,0.09,0.34,0.25,0.07,0.08,0.17
HDy,0.90834713937268,0.7197544628863809,0.7487146355892779,0.9435370136182464,0.9186370642463461,0.8413962461646365,0.17879488663102447,0.14167316878745145,0.14737355641547362,0.18572150015087466,0.1808203082693856,0.16561657974579005,0.09,0.34,0.25,0.07,0.08,0.17
CC,0.91,0.6799999999999999,0.75,0.95,0.91,0.84,0.18055555555555555,0.1349206349206349,0.1488095238095238,0.1884920634920635,0.18055555555555555,0.16666666666666666,0.09,0.34,0.25,0.07,0.08,0.17
