MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.65,0.05,0.0,0.0,0.0,,1.0,T50
0.65,0.05,0.0,0.0,0.0,,1.0,MS2
0.65,0.05,0.0,0.0,0.0,,1.0,SMM
0.65,0.05,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.05,0.0,0.0,0.0,,1.0,X
0.65,0.05,0.0,0.0,0.0,,1.0,MAX
0.65,0.05,0.0,0.0,0.0,,1.0,ACC
0.65,0.05,0.0,0.0,0.0,,1.0,CC
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,T50
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,MS2
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,SMM
0.65,0.15000000000000002,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,X
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,MAX
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,ACC
0.65,0.15000000000000002,0.0,0.008,0.01,,0.992,CC
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,T50
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,MS2
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,SMM
0.65,0.25000000000000006,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,X
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,MAX
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,ACC
0.65,0.25000000000000006,0.0,0.056,0.06,,0.944,CC
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,T50
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,MS2
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,SMM
0.65,0.35000000000000003,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,X
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,MAX
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,ACC
0.65,0.35000000000000003,0.0,0.118,0.12,,0.882,CC
0.65,0.45000000000000007,0.0,0.062,0.06,,0.9379310344827586,T50
0.65,0.45000000000000007,0.0,0.0,0.0,,1.0,MS2
