MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.35,0.05,0.0,0.0,0.0,,1.0,T50
0.35,0.05,0.0,0.0,0.0,,1.0,MS2
0.35,0.05,0.0,0.0,0.0,,1.0,SMM
0.35,0.05,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.35,0.05,0.0,0.0,0.0,,1.0,X
0.35,0.05,0.0,0.0,0.0,,1.0,MAX
0.35,0.05,0.0,0.0,0.0,,1.0,ACC
0.35,0.05,0.0,0.0,0.0,,1.0,CC
0.35,0.15000000000000002,0.0,0.0,0.0,,1.0,T50
0.35,0.15000000000000002,0.0,0.0,0.0,,1.0,MS2
0.35,0.15000000000000002,0.0,0.0,0.0,,1.0,SMM
0.35,0.15000000000000002,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.35,0.15000000000000002,0.0,0.0,0.0,,1.0,X
0.35,0.15000000000000002,0.0,0.0,0.0,,1.0,MAX
0.35,0.15000000000000002,0.0,0.0,0.0,,1.0,ACC
0.35,0.15000000000000002,0.0,0.006,0.01,,0.994,CC
0.35,0.25000000000000006,0.0,0.121,0.12,,0.8791666666666667,T50
0.35,0.25000000000000006,0.0,0.0,0.0,,1.0,MS2
0.35,0.25000000000000006,0.0,0.0,0.0,,1.0,SMM
0.35,0.25000000000000006,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.35,0.25000000000000006,0.0,0.0,0.0,,1.0,X
0.35,0.25000000000000006,0.0,0.0,0.0,,1.0,MAX
0.35,0.25000000000000006,0.0,0.0,0.0,,1.0,ACC
0.35,0.25000000000000006,0.0,0.074,0.07,,0.926,CC
0.35,0.35000000000000003,0.0,0.233,0.23,,0.7666666666666666,T50
0.35,0.35000000000000003,0.0,0.0,0.0,,1.0,MS2
0.35,0.35000000000000003,0.0,0.03,0.03,,0.97,SMM
0.35,0.35000000000000003,0.0,0.004,0.0,topsoe,0.9960761577360379,DyS-TS
0.35,0.35000000000000003,0.0,0.0,0.0,,1.0,X
0.35,0.35000000000000003,0.0,0.0,0.0,,1.0,MAX
0.35,0.35000000000000003,0.0,0.028,0.03,,0.9715099715099715,ACC
0.35,0.35000000000000003,0.0,0.13,0.13,,0.87,CC
0.35,0.45000000000000007,0.0,0.388,0.39,,0.6125,T50
0.35,0.45000000000000007,0.0,0.12,0.12,,0.88,MS2
0.35,0.45000000000000007,0.0,0.14,0.14,,0.86,SMM
0.35,0.45000000000000007,0.0,0.094,0.09,topsoe,0.9056236627547641,DyS-TS
0.35,0.45000000000000007,0.0,0.07,0.07,,0.9297752808988764,X
0.35,0.45000000000000007,0.0,0.05,0.05,,0.9498607242339833,MAX
0.35,0.45000000000000007,0.0,0.165,0.16,,0.8347578347578348,ACC
0.35,0.45000000000000007,0.0,0.222,0.22,,0.778,CC
0.35,0.5500000000000002,0.0,0.533,0.53,,0.4666666666666667,T50
0.35,0.5500000000000002,0.0,0.189,0.19,,0.8114285714285714,MS2
0.35,0.5500000000000002,0.0,0.22,0.22,,0.78,SMM
0.35,0.5500000000000002,0.0,0.173,0.17,topsoe,0.8274419914318041,DyS-TS
0.35,0.5500000000000002,0.0,0.222,0.22,,0.7780898876404494,X
0.35,0.5500000000000002,0.0,0.192,0.19,,0.807799442896936,MAX
0.35,0.5500000000000002,0.0,0.251,0.25,,0.7492877492877492,ACC
0.35,0.5500000000000002,0.0,0.27,0.27,,0.73,CC
0.35,0.6500000000000001,0.0,0.725,0.72,,0.275,T50
0.35,0.6500000000000001,0.0,0.274,0.27,,0.7257142857142858,MS2
0.35,0.6500000000000001,0.0,0.29,0.29,,0.71,SMM
0.35,0.6500000000000001,0.0,0.254,0.25,topsoe,0.7464080090030017,DyS-TS
0.35,0.6500000000000001,0.0,0.343,0.34,,0.6573033707865168,X
0.35,0.6500000000000001,0.0,0.253,0.25,,0.7465181058495822,MAX
0.35,0.6500000000000001,0.0,0.365,0.36,,0.6353276353276354,ACC
0.35,0.6500000000000001,0.0,0.294,0.29,,0.706,CC
0.35,0.7500000000000002,0.0,0.783,0.78,,0.21666666666666667,T50
0.35,0.7500000000000002,0.0,0.357,0.36,,0.6428571428571428,MS2
0.35,0.7500000000000002,0.0,0.42,0.42,,0.58,SMM
0.35,0.7500000000000002,0.0,0.33,0.33,topsoe,0.6695272837611088,DyS-TS
0.35,0.7500000000000002,0.0,0.337,0.34,,0.6629213483146067,X
0.35,0.7500000000000002,0.0,0.418,0.42,,0.5821727019498606,MAX
0.35,0.7500000000000002,0.0,0.362,0.36,,0.6381766381766382,ACC
0.35,0.7500000000000002,0.0,0.408,0.41,,0.5920000000000001,CC
0.35,0.8500000000000002,0.0,0.858,0.86,,0.14166666666666672,T50
0.35,0.8500000000000002,0.0,0.466,0.47,,0.5342857142857143,MS2
0.35,0.8500000000000002,0.0,0.51,0.51,,0.49,SMM
0.35,0.8500000000000002,0.0,0.474,0.47,topsoe,0.5263723556522597,DyS-TS
0.35,0.8500000000000002,0.0,0.393,0.39,,0.6067415730337078,X
0.35,0.8500000000000002,0.0,0.396,0.4,,0.6044568245125348,MAX
0.35,0.8500000000000002,0.0,0.453,0.45,,0.547008547008547,ACC
0.35,0.8500000000000002,0.0,0.44,0.44,,0.56,CC
0.35,0.9500000000000002,0.0,0.992,0.99,,0.008333333333333304,T50
0.35,0.9500000000000002,0.0,0.54,0.54,,0.45999999999999996,MS2
0.35,0.9500000000000002,0.0,0.49,0.49,,0.51,SMM
