MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.15,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.15,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.15,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.15,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.15,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.15,0.05,0.0,0.0,0.0,topsoe,1.0,SMMSyn-TS
0.15,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.0013820837604856695,DySyn-TS
0.15,0.15000000000000002,0.0,0.002,0.0,topsoe,0.9979591836734694,ACCSyn-TS
0.15,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.15,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.15,0.15000000000000002,0.0,0.008,0.01,topsoe,0.992,T50Syn-TS
0.15,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.15,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,SMMSyn-TS
0.15,0.15000000000000002,0.0,[0. 1.],[0. 1.],topsoe,2.4353096389137247e-06,DySyn-TS
0.15,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.15,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.15,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.15,0.25000000000000006,0.0,0.16,0.16,topsoe,0.83984375,T50Syn-TS
0.15,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.15,0.25000000000000006,0.0,0.01,0.01,topsoe,0.99,SMMSyn-TS
0.15,0.25000000000000006,0.0,[0.01 0.99],[0.01 0.99],topsoe,1.1160424725691325e-05,DySyn-TS
0.15,0.35000000000000003,0.0,0.029,0.03,topsoe,0.9710144927536232,ACCSyn-TS
0.15,0.35000000000000003,0.0,0.016,0.02,topsoe,0.9838709677419355,XSyn-TS
0.15,0.35000000000000003,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.15,0.35000000000000003,0.0,0.3,0.3,topsoe,0.6995884773662552,T50Syn-TS
0.15,0.35000000000000003,0.0,0.032,0.03,topsoe,0.967741935483871,MS2Syn-TS
0.15,0.35000000000000003,0.0,0.05,0.05,topsoe,0.95,SMMSyn-TS
0.15,0.35000000000000003,0.0,[0.04 0.96],[0.04 0.96],topsoe,2.2196903320351614e-07,DySyn-TS
0.15,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.15,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.15,0.45000000000000007,0.0,0.085,0.08,topsoe,0.9153225806451613,MAXSyn-TS
0.15,0.45000000000000007,0.0,0.405,0.4,topsoe,0.5948275862068966,T50Syn-TS
0.15,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.15,0.45000000000000007,0.0,0.05,0.05,topsoe,0.95,SMMSyn-TS
0.15,0.45000000000000007,0.0,[0.06 0.94],[0.06 0.94],topsoe,6.698755086711387e-08,DySyn-TS
0.15,0.5500000000000002,0.0,0.107,0.11,topsoe,0.8932806324110673,ACCSyn-TS
0.15,0.5500000000000002,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.15,0.5500000000000002,0.0,0.046,0.05,topsoe,0.9539170506912442,MAXSyn-TS
0.15,0.5500000000000002,0.0,0.433,0.43,topsoe,0.5668202764976958,T50Syn-TS
0.15,0.5500000000000002,0.0,0.027,0.03,topsoe,0.9734513274336283,MS2Syn-TS
0.15,0.5500000000000002,0.0,0.14,0.14,topsoe,0.86,SMMSyn-TS
0.15,0.5500000000000002,0.0,[0.14 0.86],[0.14 0.86],topsoe,2.8892270472646213e-07,DySyn-TS
0.15,0.6500000000000001,0.0,0.211,0.21,topsoe,0.7886792452830189,ACCSyn-TS
0.15,0.6500000000000001,0.0,0.184,0.18,topsoe,0.8156862745098039,XSyn-TS
0.15,0.6500000000000001,0.0,0.447,0.45,topsoe,0.553191489361702,MAXSyn-TS
0.15,0.6500000000000001,0.0,0.654,0.65,topsoe,0.34594594594594597,T50Syn-TS
0.15,0.6500000000000001,0.0,0.202,0.2,topsoe,0.7980616038236856,MS2Syn-TS
0.15,0.6500000000000001,0.0,0.2,0.2,topsoe,0.8,SMMSyn-TS
0.15,0.6500000000000001,0.0,[0.19 0.81],[0.19 0.81],topsoe,9.286896759462646e-07,DySyn-TS
0.15,0.7500000000000002,0.0,0.3,0.3,topsoe,0.7,ACCSyn-TS
0.15,0.7500000000000002,0.0,0.126,0.13,topsoe,0.874074074074074,XSyn-TS
0.15,0.7500000000000002,0.0,0.041,0.04,topsoe,0.9590909090909092,MAXSyn-TS
0.15,0.7500000000000002,0.0,0.768,0.77,topsoe,0.23170731707317072,T50Syn-TS
0.15,0.7500000000000002,0.0,0.232,0.23,topsoe,0.7678571428571428,MS2Syn-TS
0.15,0.7500000000000002,0.0,0.13,0.13,topsoe,0.87,SMMSyn-TS
0.15,0.7500000000000002,0.0,[0.41 0.59],[0.41 0.59],topsoe,2.7061367530677432e-08,DySyn-TS
0.15,0.8500000000000002,0.0,0.344,0.34,topsoe,0.6557377049180328,ACCSyn-TS
0.15,0.8500000000000002,0.0,0.264,0.26,topsoe,0.7363636363636363,XSyn-TS
0.15,0.8500000000000002,0.0,0.394,0.39,topsoe,0.6062992125984252,MAXSyn-TS
0.15,0.8500000000000002,0.0,0.98,0.98,topsoe,0.019867549668874163,T50Syn-TS
0.15,0.8500000000000002,0.0,0.394,0.39,topsoe,0.6059496996996996,MS2Syn-TS
