Positive,Negative,Easy,Hard
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Krummholz', 'Spruce_Fir']","['Lodgepole_Pine', 'Cottonwood_Willow', 'Ponderosa_Pine']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Lodgepole_Pine', 'Ponderosa_Pine']","['Cottonwood_Willow', 'Krummholz', 'Spruce_Fir']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Lodgepole_Pine', 'Ponderosa_Pine', 'Cottonwood_Willow']","['Spruce_Fir', 'Krummholz']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Lodgepole_Pine', 'Krummholz', 'Ponderosa_Pine']","['Spruce_Fir', 'Cottonwood_Willow']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Cottonwood_Willow', 'Lodgepole_Pine', 'Ponderosa_Pine', 'Krummholz']",['Spruce_Fir']
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Lodgepole_Pine'],"['Cottonwood_Willow', 'Spruce_Fir', 'Ponderosa_Pine', 'Krummholz']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Ponderosa_Pine', 'Spruce_Fir', 'Lodgepole_Pine']","['Cottonwood_Willow', 'Krummholz']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Lodgepole_Pine', 'Krummholz', 'Ponderosa_Pine', 'Cottonwood_Willow']",['Spruce_Fir']
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine', 'Cottonwood_Willow']",['Spruce_Fir']
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Ponderosa_Pine'],"['Krummholz', 'Spruce_Fir', 'Lodgepole_Pine', 'Cottonwood_Willow']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Krummholz', 'Ponderosa_Pine']","['Cottonwood_Willow', 'Lodgepole_Pine', 'Spruce_Fir']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Lodgepole_Pine', 'Cottonwood_Willow', 'Krummholz', 'Ponderosa_Pine']",['Spruce_Fir']
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Krummholz', 'Cottonwood_Willow']","['Lodgepole_Pine', 'Spruce_Fir', 'Ponderosa_Pine']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Spruce_Fir', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Cottonwood_Willow', 'Krummholz']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Ponderosa_Pine', 'Lodgepole_Pine']","['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Krummholz'],"['Lodgepole_Pine', 'Spruce_Fir', 'Ponderosa_Pine', 'Cottonwood_Willow']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Krummholz', 'Spruce_Fir']","['Cottonwood_Willow', 'Lodgepole_Pine', 'Ponderosa_Pine']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Cottonwood_Willow', 'Ponderosa_Pine', 'Lodgepole_Pine', 'Krummholz']",['Spruce_Fir']
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Cottonwood_Willow'],"['Spruce_Fir', 'Ponderosa_Pine', 'Lodgepole_Pine', 'Krummholz']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Cottonwood_Willow'],"['Lodgepole_Pine', 'Spruce_Fir', 'Krummholz', 'Ponderosa_Pine']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Spruce_Fir'],"['Ponderosa_Pine', 'Lodgepole_Pine', 'Cottonwood_Willow', 'Krummholz']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Spruce_Fir', 'Lodgepole_Pine', 'Ponderosa_Pine', 'Cottonwood_Willow']",['Krummholz']
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Spruce_Fir'],"['Lodgepole_Pine', 'Krummholz', 'Ponderosa_Pine', 'Cottonwood_Willow']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Spruce_Fir', 'Cottonwood_Willow']","['Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Ponderosa_Pine', 'Spruce_Fir', 'Lodgepole_Pine', 'Krummholz']",['Cottonwood_Willow']
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Cottonwood_Willow', 'Krummholz']","['Lodgepole_Pine', 'Ponderosa_Pine', 'Spruce_Fir']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Lodgepole_Pine', 'Cottonwood_Willow', 'Krummholz']","['Ponderosa_Pine', 'Spruce_Fir']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Krummholz'],"['Spruce_Fir', 'Ponderosa_Pine', 'Cottonwood_Willow', 'Lodgepole_Pine']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Ponderosa_Pine', 'Spruce_Fir']","['Krummholz', 'Lodgepole_Pine', 'Cottonwood_Willow']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']",['Spruce_Fir'],"['Ponderosa_Pine', 'Lodgepole_Pine', 'Krummholz', 'Cottonwood_Willow']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Ponderosa_Pine', 'Cottonwood_Willow']","['Krummholz', 'Lodgepole_Pine', 'Spruce_Fir']"
['Douglas_fir'],"['Spruce_Fir', 'Cottonwood_Willow', 'Krummholz', 'Lodgepole_Pine', 'Ponderosa_Pine']","['Cottonwood_Willow', 'Krummholz', 'Spruce_Fir', 'Lodgepole_Pine']",['Ponderosa_Pine']
