Positive,Negative,Easy,Hard
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Grass', 'Alfalfa']",['Trees']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Alfalfa']","['Corn', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Alfalfa', 'Grass']",['Trees']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Trees', 'Alfalfa']",['Grass']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Trees', 'Alfalfa']",['Corn']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Trees', 'Alfalfa', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Trees'],"['Grass', 'Alfalfa', 'Corn']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Corn']","['Trees', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Alfalfa']","['Grass', 'Corn']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Corn']","['Grass', 'Trees']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Corn']","['Grass', 'Trees']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Alfalfa']","['Corn', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Alfalfa', 'Corn']",['Trees']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Grass', 'Corn']",['Alfalfa']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Grass', 'Corn']",['Trees']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Trees', 'Grass']",['Corn']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Grass'],"['Alfalfa', 'Trees', 'Corn']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Trees']","['Corn', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Trees']","['Alfalfa', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Alfalfa', 'Trees', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Trees', 'Corn']",['Grass']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Trees'],"['Alfalfa', 'Grass', 'Corn']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Corn', 'Alfalfa']",['Grass']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Trees']","['Corn', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Grass']","['Corn', 'Trees']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Trees', 'Grass', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Trees'],"['Corn', 'Alfalfa', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Grass', 'Trees', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Alfalfa', 'Corn']",['Trees']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Grass']","['Corn', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Trees']","['Corn', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Alfalfa', 'Trees']",['Corn']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Grass', 'Alfalfa', 'Trees']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Grass', 'Trees', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Alfalfa'],"['Grass', 'Trees', 'Corn']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Alfalfa'],"['Trees', 'Corn', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Grass']","['Corn', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Grass']","['Alfalfa', 'Trees']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Corn', 'Alfalfa']",['Trees']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Trees']","['Grass', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Grass']","['Corn', 'Trees']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Trees']","['Alfalfa', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Corn']","['Alfalfa', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Alfalfa', 'Corn', 'Trees']",['Grass']
